Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity
1068250;667;53254;2314000;174500;124287;25225;2078;481;965
1489500;809;50065;743000;198000;171384;42129;1071;934;973
666000;730;37125;1537500;208500;64470;26432;1370;730;919
3122250;765;83096;2123500;205500;2759;52206;1591;628;970
1751000;767;55913;1310500;202500;15030;48175;1130;885;941
3233000;744;81059;1341500;226500;6730;60642;1174;852;928
361000;697;27322;1563500;201000;55437;19997;1255;797;934
640000;715;39459;1718000;192000;8746;23423;1683;594;952
402750;653;33110;1756000;194500;14876;16820;1852;540;935
383250;693;30480;2208500;201500;48991;18411;1447;691;936
1877000;684;68427;2262500;190500;153997;44080;1278;783;964
116750;549;21006;2468000;197500;38234;9955;1896;527;882
4055000;753;91062;808000;242500;28535;65777;1245;803;963
147500;695;19164;2120500;184000;97496;11852;1537;651;906
183250;728;18927;2566000;184000;102200;15162;1247;802;911
553500;823;33708;634500;213500;57724;22330;1415;707;961
550500;812;33734;2532000;196000;168024;23688;1326;754;948
181250;638;21477;606500;187000;102095;11622;1742;574;915
910500;741;44060;2236000;194000;152272;29309;1246;803;956
597000;737;36800;573500;222000;53286;22356;1531;653;950
2618250;811;64008;717500;190000;90895;58054;1022;978;964
2059750;823;59785;1558500;208000;150433;49508;1166;858;974
758250;771;41527;1683500;201500;177930;24926;1591;628;958
1330250;739;52652;2515000;191000;108263;36624;1339;747;945
128500;592;20700;564500;205500;37147;8756;2329;429;891
407250;796;26926;2368000;209500;15068;22603;1167;857;940
1628250;777;52405;1740000;231000;37635;43532;1044;958;934
64250;614;15008;2227500;208500;60018;8009;1788;559;902
57250;636;14765;1608000;197000;151699;6311;2235;447;876
1741000;770;56436;2085000;223500;172875;44970;1106;904;959
286750;665;26043;2344500;197000;176698;15500;1607;622;938
1268250;763;54452;512000;202000;134256;33629;1553;644;963
4873750;754;98270;1890500;270500;31264;72081;1285;778;940
1408000;778;50537;649000;213000;152928;39229;1256;796;967
1417500;792;55268;1492500;241500;48668;35274;1520;658;971
529500;814;31004;2202000;224500;37794;24134;1132;883;964
2234750;743;70945;1264000;209500;166551;45454;1513;661;971
759500;814;39246;1713500;230500;44484;27500;1308;764;971
1155250;757;44060;2542000;224500;170858;37899;1077;928;943
6195250;752;108812;978000;296000;53973;74644;1418;705;952
541500;747;34224;1661000;228000;25067;24032;1408;710;920
3092750;788;76919;2381000;268500;38136;57277;1331;752;962
204000;741;21506;1616000;225000;72408;13000;1416;706;947
776000;643;48708;562000;206500;95301;19759;2551;392;958
176250;617;23901;594000;217000;15781;13605;1616;619;898
1006000;727;44747;768000;221000;161768;32827;1279;782;959
2788000;781;75745;2018000;219000;160728;51218;1446;692;972
306750;745;26005;2227500;210000;142028;17225;1360;735;952
1217750;734;55301;1538500;209500;127284;30743;1741;574;950
455750;696;35756;1886000;242500;69538;19749;1856;539;937
617000;712;36418;2885500;245000;81314;26650;1330;752;946
577000;740;33049;621000;241500;72387;28306;1163;860;937
3339500;754;78262;1228000;280000;63435;63576;1025;976;949
650000;739;36841;1629000;210000;161811;21806;1606;623;961
1301500;816;49862;2333500;238000;21161;38581;1208;828;966
1005750;694;50894;422500;221500;169242;26172;2022;495;961
715500;625;48094;1445000;219500;176424;26857;1812;552;927
490000;736;34886;1972000;235500;27300;22572;1421;704;939
655000;678;41908;634500;214500;125776;25019;1735;576;957
690250;683;41548;753000;214500;92759;23510;1709;585;944
463250;750;29741;1693000;215000;116996;22710;1207;828;939
1194750;691;53928;262000;237500;17259;35331;1489;672;938
796000;775;38539;2249500;226500;157094;28850;1307;765;950
1615500;834;51442;567500;256000;21077;43959;1096;912;969
2630000;840;70144;1398500;242000;176322;52035;1218;821;975
1535750;759;55129;2442500;221500;141259;35616;1487;672;966
535750;778;34132;2642500;222000;148173;22846;1462;684;956
1124500;802;44255;2672500;224500;147926;35897;1170;855;966
3091000;767;75804;68000;293500;79357;57481;1250;800;966
576500;786;31847;2005000;249500;67865;26874;1130;885;952
595750;637;43107;2308000;246500;37933;23373;1760;568;948
448250;619;36125;2601000;248000;48366;15557;2181;459;937
